sense_id,status_pre_aug,status_post_aug
oewn-acidic__5.00.00.sour.00,closed,closed
oewn-acidity__1.07.02..,artifact,artifact
oewn-acknowledge__2.32.00..,artifact,artifact
oewn-acknowledged__3.00.00..,background,background
oewn-acknowledged__5.00.00.unquestionable.00,artifact,artifact
oewn-acknowledgment__1.26.00..,artifact,artifact
oewn-acoustic__1.06.00..,background,background
oewn-acoustical__3.01.00..,artifact,artifact
oewn-acoustically__4.02.00..,artifact,artifact
oewn-acoustics__1.09.00..,artifact,artifact
oewn-acquainted__5.00.00.familiar.00,background,background
oewn-acquire__2.30.00..,artifact,background
oewn-acquire__2.40.00..,background,background
oewn-acquire__2.40.06..,closed,closed
oewn-acquire__2.42.00..,artifact,artifact
oewn-acquired__5.00.00.noninheritable.00,background,background
oewn-acquiring__1.04.00..,artifact,background
oewn-acquisition__1.04.00..,artifact,artifact
oewn-acrid__5.00.00.tasty.00,artifact,artifact
oewn-across__4.02.00..,background,background
oewn-across__4.02.01..,background,background
oewn-acting__1.04.00..,artifact,artifact
oewn-acting__5.00.00.impermanent.00,artifact,artifact
oewn-actinomycete__1.05.00..,artifact,artifact
oewn-active__1.24.00..,artifact,artifact
oewn-active__1.27.00..,artifact,artifact
oewn-active__3.00.02..,artifact,artifact
oewn-active__5.00.00.operational.00,artifact,artifact
oewn-actively__4.02.00..,artifact,artifact
oewn-activity__1.04.00..,artifact,artifact
oewn-activity__1.22.00..,artifact,artifact
oewn-activity__1.22.01..,artifact,artifact
oewn-activity__1.26.01..,artifact,artifact
oewn-actor__1.18.00..,closed,closed
oewn-actress__1.18.00..,artifact,artifact
oewn-actual__3.00.00..,artifact,artifact
oewn-actual__5.00.00.true.00,artifact,artifact
oewn-actuality__1.26.00..,artifact,artifact
oewn-actually__4.02.01..,artifact,artifact
oewn-actuated__5.00.00.motivated.00,background,background
oewn-actuating__5.00.00.causative.00,background,background
oewn-acuity__1.09.01..,artifact,artifact
oewn-acuminate__2.30.00..,artifact,artifact
oewn-acute__1.10.00..,artifact,artifact
oewn-acute__5.00.00.pointed.00,artifact,artifact
oewn-adapt__2.30.01..,artifact,artifact
oewn-adapt__2.30.02..,artifact,artifact
oewn-adaptation__1.10.00..,artifact,artifact
oewn-adapted__5.00.00.modified.00,artifact,artifact
oewn-addax__1.05.00..,background,background
oewn-addend__1.23.00..,background,background
oewn-addicted__3.00.00..,artifact,artifact
oewn-addiction__1.26.00..,artifact,artifact
oewn-addictive__3.00.00..,artifact,artifact
oewn-addition__1.06.00..,artifact,external
oewn-addition__1.23.00..,artifact,artifact
oewn-additional__5.00.03.additive.00,background,background
oewn-additive__1.06.00..,artifact,artifact
oewn-address__1.10.00..,artifact,artifact
oewn-address__1.10.01..,artifact,artifact
oewn-address__1.10.02..,artifact,artifact
oewn-address__1.10.04..,artifact,artifact
oewn-addressed__3.00.00..,artifact,artifact
oewn-adenoidectomy__1.04.00..,background,background
oewn-adequate__3.00.00..,artifact,artifact
oewn-adequate__5.00.00.sufficient.00,artifact,artifact
oewn-adequately__4.02.00..,artifact,artifact
oewn-adhere__2.42.00..,artifact,artifact
oewn-adherent__1.18.00..,artifact,artifact
oewn-adhesive__1.27.00..,artifact,artifact
oewn-adjacent__5.00.00.close.01,artifact,artifact
oewn-adjacent__5.00.00.connected.00,artifact,artifact
oewn-adjectival__3.01.00..,artifact,artifact
oewn-adjectivally__4.02.00..,artifact,artifact
oewn-adjective__1.10.00..,artifact,background
oewn-adjective__3.00.00..,artifact,artifact
oewn-adjective__3.01.00..,artifact,artifact
oewn-adjust__2.30.00..,artifact,artifact
oewn-adjust__2.30.01..,artifact,artifact
oewn-adjusted__3.00.00..,artifact,artifact
oewn-adjusted__5.00.00.oriented.00,artifact,artifact
oewn-administer__2.40.00..,closed,closed
oewn-administer__2.40.01..,artifact,artifact
oewn-administer__2.41.00..,artifact,artifact
oewn-administration__1.04.00..,artifact,artifact
oewn-administrative__3.01.00..,background,background
oewn-admirable__5.00.00.pleasing.00,artifact,artifact
oewn-admirable__5.00.01.reputable.00,artifact,artifact
oewn-admiral__1.18.00..,background,background
oewn-admiration__1.12.01..,artifact,artifact
oewn-admiration__1.12.02..,artifact,artifact
oewn-admissible__3.00.00..,background,background
oewn-admission__1.04.00..,artifact,artifact
oewn-admit__2.32.00..,artifact,artifact
oewn-admit__2.41.01..,artifact,artifact
oewn-admittedly__4.02.00..,background,background
oewn-admonition__1.10.01..,artifact,external
oewn-adolescence__1.28.00..,artifact,artifact
oewn-adopt__2.40.02..,artifact,artifact
oewn-adopted__3.00.00..,background,background
oewn-adoption__1.04.00..,background,background
oewn-adoption__1.04.02..,background,background
oewn-adoptive__3.00.00..,background,background
oewn-adoration__1.04.01..,artifact,artifact
oewn-adorn__2.36.00..,artifact,artifact
oewn-adorned__3.00.00..,background,background
oewn-adornment__1.06.00..,artifact,artifact
oewn-adrenalin__1.08.00..,artifact,artifact
oewn-adrenaline__1.08.00..,artifact,artifact
oewn-adroitness__1.09.00..,artifact,artifact
oewn-adsorption__1.22.00..,artifact,artifact
oewn-adult__1.18.00..,artifact,artifact
oewn-adult__5.00.00.mature.01,artifact,artifact
oewn-adulterous__5.00.00.illicit.00,artifact,artifact
oewn-adultery__1.04.00..,artifact,artifact
oewn-adulthood__1.28.00..,artifact,artifact
oewn-advance__1.04.00..,artifact,artifact
oewn-advance__1.11.00..,artifact,artifact
oewn-advance__1.21.00..,artifact,artifact
oewn-advance__2.33.00..,artifact,artifact
oewn-advance__2.38.00..,artifact,artifact
oewn-advance__5.00.00.early.00,artifact,artifact
oewn-advanced__5.00.00.high-tech.00,artifact,artifact
oewn-advanced__5.00.00.late.00,artifact,artifact
oewn-advanced__5.00.00.precocious.00,artifact,artifact
oewn-advanced__5.00.02.high.02,artifact,artifact
oewn-advancement__1.10.00..,artifact,artifact
oewn-advancing__5.00.00.progressive.01,background,background
oewn-advantage__1.07.00..,closed,closed
oewn-advantage__1.07.01..,closed,closed
oewn-advantage__2.41.00..,closed,closed
oewn-advantageous__3.00.00..,closed,closed
oewn-advantageous__5.00.00.expedient.00,artifact,artifact
oewn-adventure__1.04.00..,artifact,artifact
oewn-adverb__1.10.00..,artifact,background
oewn-adverb__1.10.01..,artifact,background
oewn-adverbial__1.10.00..,artifact,external
oewn-adversary__1.18.00..,artifact,artifact
oewn-adverse__5.00.00.unfavorable.02,artifact,artifact
oewn-adversity__1.26.00..,background,background
oewn-advertisement__1.10.00..,artifact,artifact
oewn-advertising__1.10.00..,artifact,artifact
oewn-advice__1.10.00..,background,background
oewn-advisable__3.00.00..,artifact,artifact
oewn-advocate__1.18.00..,background,background
oewn-advocate__2.32.00..,artifact,artifact
oewn-aegean__1.17.00..,artifact,artifact
oewn-aerobic__3.00.00..,artifact,background
oewn-aerodynamic__3.01.00..,artifact,artifact
oewn-aerodynamics__1.09.00..,artifact,artifact
