lemma,surface_word,seed_node_count,source_node_ids,parts_of_speech,max_degree_score,best_frequency,earliest_age_of_acquisition,mean_concreteness
most,most,1,most::a,a,52,5.5444444827118335,,2.38
run,run,1,run::n,n,79,5.544177366524545,4.47,4.31
while,while,1,while::n,n,351,5.542790581476353,7.06362,1.55
school,school,2,school::n;school::v,n;v,205,5.522027521013506,3.89,4.79
business,business,1,business::n,n,321,5.5059358781176915,7.47,3.28
hope,hope,1,hope::v,v,20,5.5054315788918196,4.89,1.25
open,open,3,open::a;open::n;open::v,a;n;v,359,5.505139348307253,5.0,3.2099999999999995
sit,sit,1,sit::v,v,59,5.492684640235538,3.47,4.8
cause,cause,2,cause::n;cause::v,n;v,462,5.49084841307908,5.84,2.43
hard,hard,1,hard::a,a,54,5.487761455741685,4.39,3.76
honey,honey,2,honey::a;honey::v,a;v,9,5.477262963365128,5.44,4.88
face,face,1,face::n,n,261,5.4605672710785385,3.75,4.87
second,second,2,second::n;second::r,n;r,342,5.4536212608899834,4.68,3.3
hand,hand,1,hand::n,n,235,5.4460450243514344,2.74,4.72
hit,hit,1,hit::n,n,54,5.438767976707224,4.75,4.11
end,end,2,end::n;end::v,n;v,476,5.4240938316755045,4.28,3.14
easy,easy,2,easy::a;easy::r,a;r,24,5.423837535131092,5.43,2.07
shut,shut,1,shut::v,v,10,5.4207501205982975,4.89,3.38
part,part,1,part::n,n,1354,5.416924855227094,5.11,3.29
true,true,2,true::n;true::v,n;v,247,5.40316387884861,4.644481000000001,1.7
working,working,1,working::n,n,92,5.398229045274887,,3.48
town,town,1,town::n,n,326,5.393752975824883,5.11,4.64
young,young,1,young::n,n,408,5.385360885844134,4.61,3.16
chance,chance,2,chance::a;chance::v,a;v,23,5.3818804646018155,7.78,1.64
read,read,1,read::n,n,89,5.3818451661516065,4.11,3.56
number,number,2,number::n;number::v,n;v,481,5.381350686369281,3.94,3.3
change,change,2,change::n;change::v,n;v,232,5.380289187188625,4.26,2.89
married,married,1,married::n,n,77,5.376910553616554,5.156017,2.82
point,point,1,point::n,n,419,5.373325470670158,4.55,3.39
word,word,1,word::n,n,276,5.371521769755796,4.42,3.56
game,game,1,game::n,n,298,5.368365361398272,4.26,4.5
party,party,1,party::v,v,8,5.367052521255996,4.58,3.89
set,set,1,set::n,n,337,5.3639369210296355,6.0,3.41
cut,cut,2,cut::n;cut::v,n;v,201,5.360724696402396,4.43,4.55
water,water,2,water::n;water::v,n;v,1095,5.351738198028865,2.37,5.0
making,making,1,making::n,n,671,5.346830003673602,,2.34
eyes,eyes,1,eyes::n,n,262,5.344912585627879,3.4434819999999995,4.85
story,story,1,story::n,n,98,5.343411100617,3.89,3.3
far,far,1,far::n,n,87,5.343372532659787,4.878935,2.71
times,times,1,times::n,n,231,5.341904406511898,6.7,2.07
close,close,1,close::n,n,165,5.340741843628232,4.5,3.2
means,means,1,means::n,n,398,5.3386023618052985,8.289175,1.93
death,death,1,death::n,n,342,5.335275018388934,5.37,3.73
gun,gun,2,gun::n;gun::v,n;v,94,5.328223470810152,5.58,4.83
inside,inside,1,inside::n,n,160,5.324291724859389,4.772365000000001,3.67
waiting,waiting,1,waiting::n,n,24,5.3239691890243614,,2.7
different,different,1,different::a,a,451,5.320689951534904,5.5,1.97
captain,captain,1,captain::v,v,3,5.318081323622233,6.06,4.19
important,important,1,important::a,a,549,5.31664807477377,5.79,2.14
also,also,1,also::r,r,335,5.314221267830899,6.637340000000001,1.83
line,line,2,line::n;line::v,n;v,407,5.313684719578784,4.85,4.5
fight,fight,1,fight::v,v,16,5.302812154319202,5.47,4.2
side,side,2,side::a;side::n,a;n,493,5.30247325888109,4.72,3.68
half,half,1,half::r,r,7,5.298599594596453,5.454413000000001,3.27
cool,cool,1,cool::v,v,6,5.291443101115878,4.58,3.53
body,body,2,body::n;body::v,n;v,1260,5.290659961184746,4.28,4.79
high,high,1,high::n,n,549,5.289482597040666,4.58,3.46
john,john,1,john::n,n,17,5.286503163969989,,3.48
reason,reason,1,reason::n,n,55,5.2856670087584465,7.84,1.93
truth,truth,1,truth::n,n,88,5.28314884032107,4.42,1.96
bed,bed,1,bed::v,v,9,5.271564572806746,2.89,5.0
blood,blood,2,blood::n;blood::v,n;v,790,5.269237623017895,4.89,4.86
along,along,1,along::r,r,508,5.261762331572577,5.411785000000001,2.14
front,front,2,front::a;front::n,a;n,225,5.258445128826394,5.187988000000001,3.77
welcome,welcome,1,welcome::n,n,9,5.252827851086796,4.06,2.07
free,free,3,free::a;free::n;free::v,a;n;v,202,5.248722596794537,5.21,2.04
book,book,1,book::n,n,307,5.2473775846042034,3.68,4.9
war,war,2,war::n;war::v,n;v,228,5.241858048667787,7.67,3.63
hurry,hurry,1,hurry::n,n,8,5.239120786822259,4.44,2.63
fact,fact,1,fact::n,n,127,5.236415506371387,6.47,2.72
bet,bet,1,bet::v,v,6,5.234536511033127,7.0,3.1
white,white,3,white::a;white::n;white::v,a;n;v,2079,5.233593955959155,4.06,3.89
outside,outside,2,outside::n;outside::r,n;r,166,5.229953411338771,3.578781,4.25
city,city,1,city::n,n,1256,5.227593245889771,6.56,4.79
feeling,feeling,1,feeling::n,n,425,5.225220184047514,5.3052150000000005,1.68
black,black,2,black::a;black::v,a;v,51,5.2246122122050105,3.56,3.76
full,full,2,full::a;full::r,a;r,126,5.221916775536831,4.24,3.59
sick,sick,1,sick::n,n,21,5.218073663190323,4.05,2.97
light,light,3,light::a;light::n;light::v,a;n;v,819,5.217455596935289,4.05,4.21
save,save,1,save::v,v,8,5.209812024737368,5.44,2.42
jesus,jesus,1,jesus::n,n,103,5.206758790349609,,
able,able,1,able::a,a,247,5.203311359250563,7.79,2.38
perfect,perfect,1,perfect::v,v,7,5.199890016243227,5.78,1.69
